"id","timestampStart","timestampEnd","bikeNumber","stationStart","stationEnd","startLocationLat","startLocationLon","endLocationLat","endLocationLon","distanceInMeters","timeInMinutes"
"84","2022-10-13","2022-10-13","962","54","30","46.065206","14.529911","46.07589","14.52011","1409","12"
"85","2022-10-13","2022-10-13","962","30","54","46.07589","14.52011","46.065206","14.529911","1409","11"
"86","2022-10-13","2022-10-13","962","54","29","46.065206","14.529911","46.074193","14.511134","1763","15"
"87","2022-10-13","2022-10-13","962","29","3","46.074193","14.511134","46.050388","14.504623","2694","24"
"88","2022-10-13","2022-10-13","962","3","57","46.050388","14.504623","46.051863","14.530349","1998","12"
"89","2022-10-13","2022-10-13","962","57","9","46.051863","14.530349","46.057421","14.510265","1673","12"
"90","2022-10-13","2022-10-13","962","9","57","46.057421","14.510265","46.051863","14.530349","1673","14"
"91","2022-10-13","2022-10-13","962","57","49","46.051863","14.530349","46.054398","14.553319","1800","15"
"92","2022-10-13","2022-10-13","962","49","26","46.054398","14.553319","46.051439","14.49273","4700","30"
"93","2022-10-13","2022-10-13","962","26","4","46.051439","14.49273","46.052431","14.503257","822","14"
"94","2022-10-13","2022-10-13","962","4","19","46.052431","14.503257","46.05952","14.4982","880","9"
"95","2022-10-14","2022-10-14","962","19","21","46.05952","14.4982","46.06928","14.48971","1268","12"
"96","2022-10-14","2022-10-14","962","21","60","46.06928","14.48971","46.073264","14.485942","530","6"
"97","2022-10-14","2022-10-14","962","60","18","46.073264","14.485942","46.044629","14.486699","3183","21"
"98","2022-10-14","2022-10-14","962","18","2","46.044629","14.486699","46.051093","14.507186","1741","11"
"99","2022-10-14","2022-10-14","962","2","41","46.051093","14.507186","46.041753","14.477016","2555","84"
"100","2022-10-14","2022-10-14","962","41","3","46.041753","14.477016","46.050388","14.504623","2342","36"
"101","2022-10-14","2022-10-14","962","3","53","46.050388","14.504623","46.053241","14.486206","1460","14"
"102","2022-10-14","2022-10-14","962","53","8","46.053241","14.486206","46.05682","14.50551","1546","15"
"103","2022-10-14","2022-10-14","962","8","17","46.05682","14.50551","46.053144","14.513479","740","6"
"104","2022-10-14","2022-10-14","962","17","4","46.053144","14.513479","46.052431","14.503257","795","24"
"105","2022-10-14","2022-10-14","962","4","20","46.052431","14.503257","46.06342","14.494588","1394","15"
"106","2022-10-14","2022-10-14","962","20","4","46.06342","14.494588","46.052431","14.503257","1394","14"
"107","2022-10-14","2022-10-14","962","4","9","46.052431","14.503257","46.057421","14.510265","776","9"
"108","2022-10-14","2022-10-14","962","9","22","46.057421","14.510265","46.040213","14.512044","1918","17"
"109","2022-10-14","2022-10-14","962","22","1","46.040213","14.512044","46.051367","14.506542","1311","21"
"110","2022-10-14","2022-10-14","962","1","16","46.051367","14.506542","46.05257","14.51928","995","12"
"111","2022-10-14","2022-10-14","962","16","15","46.05257","14.51928","46.049877","14.516308","377","12"
"112","2022-10-14","2022-10-14","962","15","8","46.049877","14.516308","46.05682","14.50551","1137","27"
"113","2022-10-14","2022-10-14","962","8","15","46.05682","14.50551","46.049877","14.516308","1137","9"
"114","2022-10-14","2022-10-14","962","15","55","46.049877","14.516308","46.048982","14.522709","505","5"
"115","2022-10-14","2022-10-14","962","55","26","46.048982","14.522709","46.051439","14.49273","2336","15"
"116","2022-10-15","2022-10-15","962","26","21","46.051439","14.49273","46.06928","14.48971","1997","15"
"117","2022-10-15","2022-10-15","962","21","58","46.06928","14.48971","46.074315","14.475483","1235","8"
"118","2022-10-12","2022-10-12","1013","54","34","46.065206","14.529911","46.068805","14.546257","1326","12"
"119","2022-10-12","2022-10-12","1013","34","43","46.068805","14.546257","46.086761","14.514151","3186","23"
"120","2022-10-12","2022-10-12","1013","43","30","46.086761","14.514151","46.07589","14.52011","1293","15"
"121","2022-10-12","2022-10-12","1013","30","54","46.07589","14.52011","46.065206","14.529911","1409","20"
"122","2022-10-12","2022-10-12","1013","54","57","46.065206","14.529911","46.051863","14.530349","1483","18"
"123","2022-10-12","2022-10-12","1013","57","47","46.051863","14.530349","46.053047","14.545125","1151","15"
"124","2022-10-13","2022-10-13","1013","47","32","46.053047","14.545125","46.033408","14.482468","5318","30"
"125","2022-10-13","2022-10-13","1013","32","61","46.033408","14.482468","46.036284","14.522948","3150","21"
"126","2022-10-13","2022-10-13","1013","61","80","46.036284","14.522948","46.045","14.51846","1029","8"
"127","2022-10-14","2022-10-14","1013","80","6","46.045","14.51846","46.045748","14.506196","953","9"
"128","2022-10-14","2022-10-14","1013","6","78","46.045748","14.506196","46.039384","14.485458","1754","15"
"129","2022-10-14","2022-10-14","1013","78","5","46.039384","14.485458","46.046498","14.505148","1717","15"
"130","2022-10-14","2022-10-14","1013","5","8","46.046498","14.505148","46.05682","14.50551","1148","161"
"131","2022-10-14","2022-10-14","1013","8","29","46.05682","14.50551","46.074193","14.511134","1979","26"
"132","2022-10-14","2022-10-14","1013","29","8","46.074193","14.511134","46.05682","14.50551","1979","11"
"133","2022-10-14","2022-10-14","1013","8","28","46.05682","14.50551","46.06942","14.51052","1453","15"
"134","2022-10-14","2022-10-14","1013","28","63","46.06942","14.51052","46.065175","14.539537","2294","51"
"135","2022-10-14","2022-10-14","1013","63","26","46.065175","14.539537","46.051439","14.49273","3931","45"
"136","2022-10-14","2022-10-14","1013","26","37","46.051439","14.49273","46.03784","14.50001","1613","12"
